ACTRESS NAME,DOB
Beverly Aadland,None
Mariann Aalda,1948-05-07
Caroline Aaron,1957-08-07
Diahnne Abbott,1945-01-01
Rose Abdoo,1962-11-28
Paula Abdul,1962-06-19
Donzaleigh Abernathy,1957-08-05
Whitney Able,1982-06-02
Candice Accola,1987-05-13
Amy Acker,1976-12-05
Jean Acker,None
Bettye Ackerman,None
Amy Adams,1974-08-20
Brooke Adams,1949-02-08
Edie Adams,None
Jane Adams,1965-04-01
Joey Lauren Adams,1968-01-09
Julie Adams,None
Lillian Adams,None
Mary Kay Adams,1962-09-12
Nancy Addison,None
Shohreh Aghdashloo,1952-05-11
Dianna Agron,1986-04-30
Christina Aguilera,1980-12-18
Lexi Ainsworth,1992-10-28
Malin Åkerman,1978-05-12
Jessica Alba,1981-04-28
Lola Albright,None
Denise Alexander,1939-11-11
Erika Alexander,1969-11-19
Jaimie Alexander,1984-03-12
Jane Alexander,1939-10-28
Khandi Alexander,1957-09-04
Sasha Alexander,1973-05-17
Kristian Alfonso,1963-09-05
Tatyana Ali,1979-01-24
Mary Alice,1943-12-03
Ana Alicia,1956-12-12
Christa B. Allen,1991-11-01
Debbie Allen,1950-01-16
Elizabeth Allen,None
Joan Allen,1956-08-20
Jonelle Allen,1944-07-18
Karen Allen,1951-10-05
Krista Allen,1972-04-05
Laura Allen,1974-03-21
Nancy Allen,1950-06-24
Rosalind Allen,1957-09-23
Kirstie Alley,1951-01-12
Jamie Anne Allman,1977-04-06
June Allyson,None
Daniella Alonso,1978-09-22
María Conchita Alonso,1957-06-29
Trini Alvarado,1967-01-10
Lauren Ambrose,1978-02-20
Mädchen Amick,1970-12-12
Suzy Amis,1962-01-05
Eva Amurri,1985-03-15
Kristina Anapau,1979-10-30
Andrea Anders,1975-05-10
Gillian Anderson,1968-08-09
Loni Anderson,1946-08-05
Mary Anderson,None
Melody Anderson,1955-12-03
Nicole Gale Anderson,1990-08-29
Jennifer Aniston,1969-02-11
Odette Annable,1985-05-10
Susan Anton,1950-10-12
Shiri Appleby,1978-12-07
Christina Applegate,1971-11-25
Anne Archer,1947-08-24
Beverly Archer,1948-07-19
Leila Arcieri,1973-12-18
Eve Arden,None
Ashley Argota,1993-01-09
Jillian Armenante,1968-07-05
Bess Armstrong,1953-12-11
Samaire Armstrong,1980-10-31
Alexis Arquette,None
Patricia Arquette,1968-04-08
Rosanna Arquette,1959-08-10
Bea Arthur,None
Jean Arthur,None
Katie Aselton,1978-10-01
Ashanti,1980-10-13
Elizabeth Ashley,1939-08-30
Mary Astor,None
Margaret Avery,1944-01-20
Awkwafina,1988-06-02
Nicki Aycox,1975-05-26
Rochelle Aytes,1976-05-17
Candice Azzara,1945-05-18
Lauren Bacall,None
Barbara Bach,1947-08-27
Catherine Bach,1954-03-01
Mary Badham,1952-10-07
Jane Badler,1953-12-31
Erykah Badu,1971-02-26
Katherine Bailess,1980-04-24
Laura Bailey,None
Pearl Bailey,None
Barbara Bain,1931-09-13
Fay Bainter,None
Diora Baird,1983-04-06
Blanche Baker,1956-12-20
Carroll Baker,1931-05-28
Diane Baker,1938-02-25
Kathy Baker,1950-06-08
Leigh-Allyn Baker,1972-03-13
Brenda Bakke,1963-05-15
Fairuza Balk,1974-05-21
Lucille Ball,None
Kaye Ballard,None
Talia Balsam,1959-03-05
Anne Bancroft,None
Tallulah Bankhead,None
Elizabeth Banks,1974-02-10
Tyra Banks,1973-12-04
Christine Baranski,1952-05-02
Adrienne Barbeau,1945-06-11
Ellen Barkin,1954-04-16
Joanna Barnes,1934-11-15
Priscilla Barnes,1955-12-07
Majel Barrett,None
Barbara Barrie,1931-05-23
Dana Barron,1966-04-22
Drew Barrymore,1975-02-22
Ethel Barrymore,None
Roseanne Barr,1952-11-03
Bonnie Bartlett,1929-06-20
Mischa Barton,1986-01-24
Ella Jay Basco,2006-09-17
Kim Basinger,1953-12-08
Angela Bassett,1958-08-16
Justine Bateman,1966-02-19
Florence Bates,None
Kathy Bates,1948-06-28
Cyia Batten,1972-01-26
Frances Bavier,None
Anne Baxter,None
Meredith Baxter,1947-06-21
Jennifer Beals,1963-12-19
Amanda Bearse,1958-08-09
Madisen Beaty,1995-02-28
Louise Beavers,None
Kimberly Beck,1956-01-09
Bonnie Bedelia,1948-03-25
Nicole Beharie,1985-01-03
Beth Behrs,1985-12-26
Doris Belack,None
Ashley Bell,1986-05-26
Catherine Bell,1968-08-14
Jillian Bell,1984-04-25
Kristen Bell,1980-07-18
